Date;Station ID;Depth ;Salinity;NH4;NO32;Dissolved_Inorganic_(NH4_NO32);Dissolved_Organic_(TDN-DIN);SUM_Total_Dissolved;Particulate_(TN_TDN);Total_N_measured;Particulate_Nitrogen_measured;Total_N_(PN_TDN);Dissolved_Inorganic_P_(DRP);Dissolved_Organic_(TDP_DRP);Total_Dissolved_P_(TDP);Particulate_P_(TP_TDP);Total_P_(TP);;;
2015-05-27;18;2;31;8,2;22,1;30,3;5,3;35,6;-0,6;35,1;;;2,6;0,0;2,6;0,4;3,0;;;
2015-05-27;22;2;31;10,5;24,8;35,4;24,5;59,8;-20,2;39,6;;;3,2;-0,1;3,2;0,3;3,5;;;
2015-05-27;27;2;29;6,9;36,3;43,2;11,6;54,8;2,8;57,6;;;5,4;-0,2;5,3;0,5;5,7;;;
2015-05-27;32;2;29;5,8;45,6;51,4;;;;71,0;;;7,1;0,1;7,2;1,8;9,0;;;
2015-05-27;34;2;29;5,1;52,5;57,5;;;;94,2;;;8,5;-0,1;8,5;3,6;12,0;;;
2015-07-21;6;2;13;2,4;32,5;34,9;8,0;42,9;6,1;49,0;;;3,7;-0,1;3,6;0,8;4,4;;;
2015-07-21;13;2;28;5,2;24,8;30,0;16,6;46,5;-7,7;38,8;;;3,3;0,2;3,5;1,1;4,6;;;
2015-07-21;657;2;0;6,0;29,0;34,9;8,0;42,9;2,8;45,7;;;2,6;0,1;2,7;0,5;3,3;;;
2015-07-23;18;2;32;0,6;;;39,8;39,8;;;;;;;;;;;;
2015-07-23;22;2;32;6,2;21,3;27,5;24,3;51,8;-17,9;33,9;;;2,8;-0,8;2,0;1,1;3,0;;;
2015-07-23;27;2;32;0,5;46,4;46,9;17,0;63,9;0,7;64,6;;;8,2;0,0;8,2;1,8;10,0;;;
2015-07-23;32;2;32;3,0;32,7;35,7;4,5;40,2;21,8;62,0;;;10,8;-1,0;9,8;3,1;12,9;;;
2015-07-23;36;2;29;12,5;62,1;74,6;0,3;75,0;67,1;142,1;;;17,6;6,6;24,2;1,4;25,6;;;
2015-08-21;22;2;32;6,1;17,6;23,8;9,5;33,3;-1,3;32,0;;;3,0;0,2;3,1;0,2;3,4;;;
2015-08-21;27;2;33;1,5;40,9;42,4;18,5;60,8;-1,0;59,8;;;9,4;-0,4;9,0;0,8;9,8;;;
2015-08-21;36;2;29;14,8;136,0;150,9;38,3;189,2;5,0;194,2;;;28,8;0,5;29,3;-0,1;29,3;;;
2015-08-26;6;2;10;0,5;31,8;32,3;13,8;46,1;-5,4;40,8;;;3,9;-0,3;3,6;0,8;4,4;;;
2015-08-26;13;2;27;1,3;22,6;23,9;12,6;36,5;-1,6;34,8;;;3,6;-0,3;3,3;0,6;3,9;;;
2015-08-26;18;2;31;5,8;12,3;18,0;11,2;29,2;-1,4;27,8;;;2,2;0,1;2,3;0,7;3,0;;;
2015-08-26;657;2;0;9,2;24,3;33,5;-17,1;16,4;27,6;44,0;;;3,0;0,1;3,1;0,3;3,4;;;
2015-09-24;6;1;15;1,5;17,1;18,6;29,4;48,0;-2,3;45,7;;;1,9;0,6;2,6;1,9;4,5;;;
